title;duration;certificate;genre;rating;directors;stars
Bohemian Rhapsody;134 min;12;Biography, Drama, Music;8.4;Bryan Singer;Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy
La noche de Halloween;106 min;16;Horror, Thriller;7.1;David Gordon Green;Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney
Ha nacido una estrella;136 min;12;Drama, Music, Romance;8.3;Bradley Cooper;Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg
Suspiria;152 min;R;Fantasy, Horror, Mystery;7.3;Luca Guadagnino;Dakota Johnson, Tilda Swinton, Doris Hick, Malgorzata Bela
Venom;112 min;12;Action, Sci-Fi;7.0;Ruben Fleischer;Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze
El cascanueces y los cuatro reinos;99 min;A/i;Adventure, Family, Fantasy;5.6;Lasse Hallström, Joe Johnston;Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren
Alpha;96 min;7;Adventure, Drama, Family;6.9;Albert Hughes;Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén
First Man (El primer hombre);141 min;7;Biography, Drama, History;7.7;Damien Chazelle;Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler
La monja;96 min;16;Horror, Mystery, Thriller;5.6;Corin Hardy;Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons
Milla 22;94 min;18;Action, Adventure, Crime;6.1;Peter Berg;Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich
Hunter Killer: Caza en las profundidades;122 min;12;Action, Thriller;7.0;Donovan Marsh;Gerard Butler, Gary Oldman, Common, Linda Cardellini
Los Increíbles 2;118 min;A;Animation, Action, Adventure;7.9;Brad Bird;Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner
Animales fantásticos: Los crímenes de Grindelwald;134 min;PG-13;Adventure, Family, Fantasy;8.6;David Yates;Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol
Malos tiempos en El Royale;141 min;16;Crime, Drama, Mystery;7.4;Drew Goddard;Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm
Boy Erased;114 min;R;Biography, Drama;6.7;Joel Edgerton;Lucas Hedges, Nicole Kidman, Joel Edgerton, Russell Crowe
Beautiful Boy;120 min;R;Biography, Drama;7.3;Felix van Groeningen;Steve Carell, Timothée Chalamet, Maura Tierney, Christian Convery
Overlord;109 min;18;Action, Horror, Mystery;7.1;Julius Avery;Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asbæk
Megalodón;113 min;12;Action, Horror, Sci-Fi;5.8;Jon Turteltaub;Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis
Infiltrado en el KKKlan;135 min;12;Biography, Comedy, Crime;7.7;Spike Lee;John David Washington, Adam Driver, Laura Harrier, Topher Grace
Mid90s;85 min;R;Comedy, Drama;7.8;Jonah Hill;Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith
Vengadores: Infinity War;149 min;12;Action, Adventure, Fantasy;8.6;Anthony Russo, Joe Russo;Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans
Mamma Mia! Una y otra vez;114 min;A;Comedy, Musical, Romance;7.0;Ol Parker;Lily James, Amanda Seyfried, Meryl Streep, Cher
Millennium: Lo que no te mata te hace más fuerte;117 min;12;Crime, Drama, Thriller;5.8;Fede Alvarez;Claire Foy, Sylvia Hoeks, Lakeith Stanfield, Stephen Merchant
Christopher Robin;104 min;A;Animation, Adventure, Comedy;7.5;Marc Forster;Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss
El espía que me plantó;117 min;16;Action, Adventure, Comedy;6.1;Susanna Fogel;Justin Theroux, Blanka Györfi-Tóth, Vilma Szécsi, Mila Kunis
Hereditary;127 min;16;Drama, Horror, Mystery;7.3;Ari Aster;Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff
Vox Lux;110 min;R;Drama, Musical;6.1;Brady Corbet;Natalie Portman, Jude Law, Raffey Cassidy, Willem Dafoe
Ant-Man y la Avispa;118 min;7;Action, Adventure, Comedy;7.2;Peyton Reed;Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins
El Grinch;90 min;A/i;Animation, Comedy, Family;5.9;Yarrow Cheney, Scott Mosier;Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams
Creed II: La leyenda de Rocky;NA;PG-13;Drama, Sport;NA;Steven Caple Jr.;Tessa Thompson, Sylvester Stallone, Michael B. Jordan, Dolph Lundgren
Mandy;121 min;18;Action, Horror, Thriller;6.7;Panos Cosmatos;Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy
El apóstol;130 min;18;Drama, Fantasy, Horror;6.4;Gareth Evans;Dan Stevens, Richard Elfyn, Paul Higgins, Bill Milner
The Hate U Give;133 min;PG-13;Crime, Drama;6.8;George Tillman Jr.;Amandla Stenberg, Regina Hall, Russell Hornsby, Anthony Mackie
Aquaman;NA;PG-13;Action, Adventure, Fantasy;NA;James Wan;Amber Heard, Jason Momoa, Nicole Kidman, Graham McTavish
Viudas;129 min;16;Crime, Drama, Romance;7.4;Steve McQueen;Viola Davis, Michelle Rodriguez, Elizabeth Debicki
Pesadillas 2: Noche de Halloween;90 min;7;Adventure, Comedy, Family;6.0;Ari Sandel;Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris
